,report_dt,segment,replenishable_flg,subtraction_flg,month_maturity,target_maturity_days,balance_start,balance_gain,balance,newbusiness,contract_close,early_withdrawal,operations,interests,renewal,universal_weight_id
184,2023-11-30,mass,1,1,12,365,2650947301.3537445,-81238726.81874397,2569708574.5350003,9264918.960243765,-17317233.469895415,0.0,-87166054.9904074,13979642.68131508,10857234.507272804,5
185,2023-11-30,mass,1,1,18,548,66901728.697681606,-664742.1157900533,66236986.58189155,1229210.3600441176,-1280137.3949914207,0.0,-758804.2856228411,144989.20478009092,832641.7630897271,6
186,2023-11-30,mass,1,1,24,730,11458185767.991411,-1524200953.6518538,9933984814.339556,5515043.947817236,-1374433976.853744,0.0,-201990380.4973993,46708359.751472235,565933505.4166132,6
187,2023-11-30,mass,1,1,36,1095,191926484.95076603,-5688133.300011741,186238351.65075427,836774.1800768757,-2451405.1582512334,0.0,-4606045.018502986,532542.6966656023,738999.943347244,7
188,2023-11-30,priv,0,0,3,90,278383613248.61176,-19380213278.222164,259003399970.3896,64770770891.952934,-84542427591.25937,-754612088.7616036,0.0,1146055509.8458748,65224146831.47489,2
189,2023-11-30,priv,0,0,6,180,292697676109.0516,-22997156770.787403,269700519338.26416,40760599046.96031,-63715620395.519585,-1655844667.1875935,0.0,1613709244.95946,2293326704.049498,3
190,2023-11-30,priv,0,0,12,365,250082341101.58295,27159835230.412987,277242176331.9959,53359010370.71707,-23334821374.848625,-4489066893.100499,0.0,1624713127.645038,4483758.881720734,5
191,2023-11-30,priv,0,0,18,548,39288666307.16861,12909871896.40577,52198538203.57438,13487646169.37808,-143135984.16886848,-731697939.9246202,0.0,297059651.12117773,6664621.860609846,6
192,2023-11-30,priv,0,0,24,730,11173944315.080206,3850422169.8102994,15024366484.890505,4005805911.6072063,-3528106.0545843914,-237279560.75251392,0.0,85423925.01019146,439438.88332764234,6
193,2023-11-30,priv,0,0,36,1095,68806139866.14401,1873511290.0457742,70679651156.18979,3467091650.5174303,-9310647.666338138,-2095905160.800918,0.0,511635447.9955999,0.0,7
194,2023-11-30,priv,0,1,18,548,2940261.4252740135,-273103.46743636834,2667157.9578376454,0.0,-273125.69356746576,0.0,0.0,22.2261310974136,0.0,6
195,2023-11-30,priv,0,1,24,730,1566088.0240725072,4110.8414788325845,1570198.8655513397,0.0,0.0,0.0,0.0,4110.8414788325845,0.0,6
196,2023-11-30,priv,0,1,36,1095,1445.510089973941,3.674004812017074,1449.184094785958,0.0,0.0,0.0,0.0,3.674004812017074,0.0,7
197,2023-11-30,priv,1,0,3,90,175896961.5625642,101142142.879021,277039104.4415852,88318556.18722819,0.0,0.0,11392005.295875492,1431581.3959173206,0.0,2
198,2023-11-30,priv,1,0,6,180,128758256.89584634,75751631.05230439,204509887.94815072,64175854.64683117,0.0,0.0,10558586.175996019,1017190.2294771932,0.0,3
199,2023-11-30,priv,1,0,12,365,77361071.16968107,46075863.331993274,123436934.50167434,38400521.30731037,0.0,0.0,7064189.562442419,611152.4622404808,0.0,5
200,2023-11-30,priv,1,0,18,548,19223662.65928989,3780364.4352042056,23004027.094494097,5364401.821743264,-1737536.8742593974,0.0,59776.98138791951,93722.50633241929,0.0,6
201,2023-11-30,priv,1,0,24,730,20898657.05633206,3367896.60233395,24266553.658666007,4185376.7500336124,0.0,0.0,-909318.5506383865,91838.40293872384,0.0,6
202,2023-11-30,priv,1,0,36,1095,215716564.3700775,89794777.784899,305511342.1549765,114346871.62255877,0.0,0.0,-25966366.97294886,1414273.1352890872,0.0,7
203,2023-11-30,priv,1,1,3,90,31111313055.501007,12080057767.616005,43191370823.11701,13097773765.25862,-420246708.97228706,0.0,-832608269.6145766,235138980.9442481,339579307.70636225,2
204,2023-11-30,priv,1,1,6,180,39197636701.403786,3781759207.72967,42979395909.13345,4851306368.891347,-357545720.5105614,0.0,-973992739.4489021,261991298.79778615,282478957.481888,3
